zip,kmtoSMM,milesToSMM,hoursDriveToSMM,city,state,latitude,longitude
55797,208.253,129.4084142,2.09472222222222,Wrenshall,MN,46.534005,-92.41983
55803,284.879,177.0238106,2.82138888888889,Duluth,MN,46.972432,-92.10105
55804,268.073,166.5805622,2.58583333333333,Duluth,MN,46.86242,-91.98342
55805,245.932,152.8221448,2.30861111111111,Duluth,MN,46.798339,-92.09568
55806,240.008,149.1409712,2.19222222222222,Duluth,MN,46.770773,-92.12718
55807,236.136,146.7349104,2.16333333333333,Duluth,MN,46.738841,-92.16969
55810,232.748,144.6296072,2.12638888888889,Duluth,MN,46.753414,-92.24355
55811,243.149,151.0927886,2.27361111111111,Duluth,MN,46.821489,-92.18242
55812,247.268,153.6523352,2.28611111111111,Duluth,MN,46.809438,-92.07319
55901,116.492,72.3881288,1.17305555555556,Rochester,MN,44.048931,-92.49459
55902,129.663,80.5725882,1.31888888888889,Rochester,MN,43.991846,-92.49166
55903,124.746,77.5171644,1.30638888888889,Rochester,MN,43.996613,-92.540929
55904,133.209,82.7760726,1.33111111111111,Rochester,MN,43.988708,-92.42937
55906,125.139,77.7613746,1.31027777777778,Rochester,MN,44.064733,-92.44427
55909,184.524,114.6632136,1.87444444444444,Adams,MN,43.564175,-92.72645
55910,156.069,96.9812766,1.7275,Altura,MN,44.128262,-91.95965
55912,165.3,102.71742,1.72916666666667,Austin,MN,43.671988,-92.97908
55917,138.371,85.9837394,1.37166666666667,Blooming Prairie,MN,43.88481,-93.07546
55920,123.942,77.0175588,1.36694444444444,Byron,MN,44.024835,-92.6388
55921,257.762,160.1733068,2.695,Caledonia,MN,43.630012,-91.48667
55923,154.823,96.2070122,1.57111111111111,Chatfield,MN,43.84113,-92.1606
55925,218.048,135.4950272,2.08861111111111,Dakota,MN,43.910929,-91.39015
55927,109.15,67.82581,1.26027777777778,Dodge Center,MN,44.026272,-92.86903
55940,130.013,80.7900782,1.45805555555556,Hayfield,MN,43.885028,-92.80894
55944,121.794,75.6827916,1.40833333333333,Kasson,MN,44.035512,-92.75013
55946,83.515,51.896221,0.972222222222222,Kenyon,MN,44.268145,-92.9651
55947,230.086,142.9754404,2.31138888888889,La Crescent,MN,43.829382,-91.33919
55952,197.551,122.7581914,1.99472222222222,Lewiston,MN,43.959148,-91.84932
55954,211.649,131.5186886,2.28861111111111,Mabel,IA,43.498082,-91.89429
55955,109.279,67.9059706,1.17,Mantorville,MN,44.068344,-92.75616
55960,109.144,67.8220816,1.14333333333333,Oronoco,MN,44.152623,-92.53706
55963,101.826,63.2746764,1.08305555555556,Pine Island,MN,44.196932,-92.65482
55967,154.826,96.2088764,1.61611111111111,Racine,MN,43.786802,-92.50425
55971,214.166,133.0827524,2.19305555555556,Rushford,MN,43.80784,-91.75117
55974,231.857,144.0759398,2.45527777777778,Spring Grove,MN,43.57279,-91.65004
55976,143.551,89.2025914,1.47305555555556,Stewartville,MN,43.862105,-92.49849
55981,126.118,78.3697252,1.60361111111111,Wabasha,MN,44.374261,-92.04204
55983,84.811,52.7015554,0.918055555555556,Wanamingo,MN,44.285672,-92.79816
55987,197.905,122.978167,1.94916666666667,Winona,MN,44.033867,-91.65106
55991,115.382,71.6983748,1.24805555555556,Zumbro Falls,MN,44.24431,-92.41336
55992,89.238,55.4524932,1.01194444444444,Zumbrota,MN,44.297157,-92.68312
56001,148.747,92.4313858,1.56861111111111,Mankato,MN,44.15644,-93.99388
56002,139.283,86.5504562,1.55083333333333,Mankato,MN,44.056047,-94.069828
56003,142.059,88.2754626,1.54194444444444,Mankato,MN,44.184909,-94.04244
56007,164.492,102.2153288,1.55833333333333,Albert Lea,MN,43.652042,-93.36916
56011,84.971,52.8009794,0.974166666666667,Belle Plaine,MN,44.616113,-93.76906
56013,236.303,146.8386842,2.20055555555556,Blue Earth,MN,43.630763,-94.10129
56016,146.436,90.9953304,1.39,Clarks Grove,MN,43.764506,-93.33357
56019,214.599,133.3518186,2.41555555555556,Comfrey,MN,44.11754,-94.88998
56021,148.613,92.3481182,1.61527777777778,Courtland,MN,44.277333,-94.31424
56024,134.472,83.5609008,1.41861111111111,Eagle Lake,MN,44.153696,-93.86918
56026,133.497,82.9550358,1.2625,Ellendale,MN,43.884985,-93.2917
56031,252.729,157.0458006,2.32444444444444,Fairmont,MN,43.646916,-94.45856
56036,173.081,107.5525334,1.66416666666667,Glenville,MN,43.550747,-93.21987
56043,162.114,100.7376396,1.54388888888889,Hayward,MN,43.65048,-93.224
56044,98.662,61.3085668,1.18472222222222,Henderson,MN,44.555899,-93.95354
56045,148.633,92.3605462,1.37833333333333,Hollandale,MN,43.762109,-93.18959
56048,128.755,80.008357,1.36611111111111,Janesville,MN,44.102188,-93.71255
56054,143.464,89.1485296,1.52777777777778,Lafayette,MN,44.431776,-94.37742
56055,167.935,104.354809,1.85194444444444,Lake Crystal,MN,44.128212,-94.23883
56057,105.87,65.787618,1.11805555555556,Le Center,MN,44.393899,-93.72583
56058,106.814,66.3742196,1.24583333333333,Le Sueur,MN,44.449976,-93.90513
56062,182.151,113.1886314,1.97944444444444,Madelia,MN,44.045998,-94.4211
56063,128.128,79.6187392,1.33166666666667,Madison Lake,MN,44.204121,-93.81923
56065,182.735,113.551529,1.82277777777778,Mapleton,MN,43.931415,-93.92866
56069,93.794,58.2835916,0.989722222222222,Montgomery,MN,44.429956,-93.56982
56071,74.17,46.089238,0.811388888888889,New Prague,MN,44.546463,-93.57848
56072,146.332,90.9307048,1.44777777777778,New Richland,MN,43.899778,-93.53178
56073,163.625,101.676575,1.81805555555556,New Ulm,MN,44.308395,-94.46149
56074,140.848,87.5229472,1.49555555555556,Nicollet,MN,44.331757,-94.19561
56080,139.749,86.8400286,1.46361111111111,Saint Clair,MN,44.080713,-93.85663
56082,124.703,77.4904442,1.34055555555556,Saint Peter,MN,44.337276,-93.99282
56085,183.55,114.05797,2.02861111111111,Sleepy Eye,MN,44.29717,-94.73426
56087,210.318,130.6916052,2.39416666666667,Springfield,MN,44.239384,-94.98313
56093,121.111,75.2583754,1.27277777777778,Waseca,MN,44.067673,-93.5103
56096,108.668,67.5262952,1.115,Waterville,MN,44.234274,-93.5884
56097,178.139,110.6955746,1.78111111111111,Wells,MN,43.731479,-93.71837
56098,230.728,143.3743792,2.16944444444444,Winnebago,MN,43.764936,-94.18016
56145,242.213,150.5111582,2.65083333333333,Jeffers,MN,44.057605,-95.18517
56150,321.843,199.9932402,2.94972222222222,Lakefield,MN,43.649239,-95.19501
56171,271.378,168.6342892,2.43361111111111,Sherburn,MN,43.660847,-94.74357
56181,258.762,160.7947068,2.32333333333333,Welcome,MN,43.672105,-94.61716
56187,296.814,184.4402196,3.11472222222222,Worthington,MN,43.623255,-95.59604
56201,169.044,105.0439416,2.1125,Willmar,MN,45.118846,-95.04504
56209,150.503,93.5225642,1.89472222222222,Atwater,MN,45.128657,-94.79069
56215,249.55,155.07037,2.62666666666667,Benson,MN,45.317872,-95.57247
56230,180.062,111.8905268,1.96805555555556,Danube,MN,44.79129,-95.09671
56232,247.059,153.5224626,2.8125,Dawson,MN,44.932368,-96.04823
56236,321.219,199.6054866,3.19694444444444,Dumont,MN,45.664974,-96.39608
56241,218.834,135.9834476,2.49583333333333,Granite Falls,MN,44.794723,-95.56737
